,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
0,I105,E,759217281_0,300089151,300089301,"LINESTRING (1963687.8303665519 547911.7190955296, 1964276.6561122278 547875.6605971765)",760046,7,POINT (1964011.9604169426 547893.7863645721)
1,I105,E,759217281_1,300089301,300089304,"LINESTRING (1964276.6561122278 547875.6605971765, 1964490.451706709 547879.1895233742)",760046,7,POINT (1964011.9604169426 547893.7863645721)
2,I105,E,123951215_0,300089304,300089309,"LINESTRING (1964490.451706709 547879.1895233742, 1965046.531013567 547801.0760114657)",773047,3,POINT (1964541.9995800918 547881.6549049082)
3,I105,E,295734891_0,300089309,1380793133,"LINESTRING (1965046.531013567 547801.0760114657, 1965467.337523092 547740.868217832)",760063,9,POINT (1965441.416375106 547742.3844003477)
4,I105,E,607788535_0,1380793133,1717023964,"LINESTRING (1965467.337523092 547740.868217832, 1965905.0759264785 547742.6907346767)",760063,9,POINT (1965441.416375106 547742.3844003477)
5,I105,E,159591358_0,1717023964,272463436,"LINESTRING (1965905.0759264785 547742.6907346767, 1966390.976755311 547884.7345383358)",760063,9,POINT (1965441.416375106 547742.3844003477)
6,I105,E,159591358_1,272463436,23964075,"LINESTRING (1966390.976755311 547884.7345383358, 1966465.5709332074 547909.1901558113)",767838,5,POINT (1966535.9231618713 547926.6179379891)
7,I105,E,159767541_0,23964075,1344188883,"LINESTRING (1966465.5709332074 547909.1901558113, 1966569.3834070386 547946.7301450587)",767838,5,POINT (1966535.9231618713 547926.6179379891)
8,I105,E,119723658_0,1344188883,1718804584,"LINESTRING (1966569.3834070386 547946.7301450587, 1966612.4433728624 547962.3599084349)",767838,5,POINT (1966535.9231618713 547926.6179379891)
9,I105,E,119723659_0,1718804584,144470939,"LINESTRING (1966612.4433728624 547962.3599084349, 1966736.7435429823 548007.5263408526)",773656,5,POINT (1967021.116938076 548096.3727937086)
10,I105,E,865329204_0,144470939,122463910,"LINESTRING (1966736.7435429823 548007.5263408526, 1967361.7495610816 548136.1679613972)",773656,5,POINT (1967021.116938076 548096.3727937086)
11,I105,E,865329203_0,122463910,1834760942,"LINESTRING (1967361.7495610816 548136.1679613972, 1968448.3075637706 547515.8089478597)",760080,6,POINT (1968166.5637771157 547761.1584059554)
12,I105,E,865329203_1,1834760942,452589486,"LINESTRING (1968448.3075637706 547515.8089478597, 1968871.2721317536 547225.6907657986)",760080,6,POINT (1968166.5637771157 547761.1584059554)
13,I105,E,38329781_0,452589486,50782297,"LINESTRING (1968871.2721317536 547225.6907657986, 1968940.2449573139 547200.9679033072)",716414,5,POINT (1968973.5109222678 547185.8376269324)
14,I105,E,121195037_0,50782297,452589533,"LINESTRING (1968940.2449573139 547200.9679033072, 1968988.0828879625 547185.5005916801)",716414,5,POINT (1968973.5109222678 547185.8376269324)
15,I105,E,121195034_0,452589533,148811042,"LINESTRING (1968988.0828879625 547185.5005916801, 1969032.2215411814 547175.3813171776)",716414,5,POINT (1968973.5109222678 547185.8376269324)
